Iteration,packageId,Duration,ErrorMessage
1,newtonsoft.json,10165,
2,newtonsoft.json,3473,
3,newtonsoft.json,3297,
4,newtonsoft.json,3688,
5,newtonsoft.json,3333,
1,paket,10020,
2,paket,10009,
3,paket,9989,
4,paket,10095,
5,paket,9406,
1,fake,10187,
2,fake,9579,
3,fake,9712,
4,fake,10004,
5,fake,9553,
1,perseuslibs,9326,
2,perseuslibs,9433,
3,perseuslibs,9815,
4,perseuslibs,9333,
5,perseuslibs,9764,
1,minet,9152,
2,minet,9153,
3,minet,9002,
4,minet,9060,
5,minet,9193,
1,latticework.cs,9485,
2,latticework.cs,8671,
3,latticework.cs,9067,
4,latticework.cs,9080,
5,latticework.cs,9299,
1,ecosqlserver,9440,
2,ecosqlserver,8833,
3,ecosqlserver,9146,
4,ecosqlserver,9319,
5,ecosqlserver,9741,
1,ecowpf,9123,
2,ecowpf,9242,
3,ecowpf,9206,
4,ecowpf,9539,
5,ecowpf,9412,
1,npgsql,3150,
2,npgsql,3117,
3,npgsql,3432,
4,npgsql,3225,
5,npgsql,3059,
